Year,Month,Day,AZN.L,BBY.L,UU.L,VOD.L,LRE.L,JD.L,GSK.L,PRU.L,BATS.L,BT-A.L,^FTSE,GBPUSD=X
2010,5,19,1768.435181,184.348114,303.513916,55.505043,178.819778,7.022573,654.140747,302.897339,1119.650146,79.271736,5158.100098,1.44167
2010,5,20,1740.108398,181.074371,298.971161,54.848301,180.728134,6.90044,647.752014,302.020264,1105.985596,79.649216,5073.100098,1.434844
2010,5,21,1732.189697,180.783371,300.958588,55.08131,181.364273,6.909164,633.030396,302.312622,1111.284058,78.642593,5062.899902,1.4481
2010,5,24,1753.814941,181.656357,302.378265,55.356716,179.979813,6.935334,634.697144,309.914246,1121.044189,78.768417,5069.600098,1.440901
2010,5,25,1713.914063,176.78212,300.106873,54.869469,177.921814,6.717242,621.642029,298.804108,1092.600098,75.371056,4940.700195,1.441504
2010,5,26,1718.178223,178.091644,298.40329,56.352432,178.221191,6.651815,624.141785,299.681213,1119.092285,75.433983,5038.100098,1.438394
2010,5,27,1742.240601,184.857376,297.835419,57.877762,180.765549,6.656178,631.641357,320.147308,1131.641479,78.579681,5195.200195,1.456049
2010,5,28,1767.521851,184.275375,306.353119,58.534504,178.258591,6.630007,642.75238,316.638824,1139.170776,79.900864,5188.399902,1.445296
2010,6,1,1769.348999,186.166855,313.451233,58.682804,178.520493,6.8481,643.585327,336.520111,1179.606567,81.473717,5163.299805,1.466706
2010,6,2,1792.802002,186.457825,315.722565,61.665569,179.904953,6.647455,656.362854,328.041321,1189.64563,82.606171,5151.299805,1.465008
2010,6,3,1813.51416,191.259384,318.845795,62.897964,180.353958,6.8481,662.751221,330.672729,1202.194702,83.990288,5211.200195,1.4634
2010,6,4,1797.066772,185.803131,316.006531,63.285927,177.585022,6.874271,652.752014,325.117615,1195.223022,81.851212,5126,1.445797
2010,6,7,1781.532349,184.566345,313.735168,62.761021,180.840424,6.760863,646.640686,312.253265,1191.039795,80.781662,5069.100098,1.447408
2010,6,8,1779.704834,181.801849,313.735168,61.802456,180.541046,6.813203,642.75238,307.282928,1198.569458,79.020073,5028.200195,1.444899
2010,6,9,1794.325073,182.893066,317.710022,62.646896,179.605591,6.804481,645.807739,310.791351,1198.011719,82.102859,5085.899902,1.454799
2010,6,10,1820.823975,183.184097,322.252899,63.628273,180.728134,6.656178,646.363098,321.316833,1205.262207,82.920746,5132.5,1.470848
2010,6,11,1861.639038,184.857376,317.993988,63.902134,184.282822,6.586388,664.973633,312.838104,1205.54126,85.500214,5163.700195,1.455202
2010,6,14,1862.248169,186.967102,320.833191,64.746536,183.571884,6.630007,666.917847,320.147308,1221.715454,87.073059,5202.100098,1.4736
2010,6,15,1875.650024,186.603333,317.710022,64.723724,185.555023,6.595111,669.417725,327.456696,1215.301636,87.953865,5217.799805,1.479991
2010,6,16,1878.086792,184.129837,318.971741,64.15316,186.116333,6.564579,679.973145,333.304077,1225.062012,88.457191,5237.899902,1.4736
2010,6,17,1877.477661,182.602112,317.194763,64.472694,187.089157,6.525322,674.973206,330.38031,1225.898804,87.828033,5253.899902,1.481591
2010,6,18,1868.949219,183.475113,319.267853,65.271477,187.837524,6.180736,664.418335,330.965088,1214.185791,86.066452,5250.799805,1.482997
