Year,Month,Day,PFE,JNJ,COST,FDX,IBM,XOM,DIS,AAPL,MS,ACN,^DJI
2010,7,19,9.051009,42.285744,41.010086,67.774673,83.433128,36.97826,29.013998,7.510135,20.011318,31.308884,10154.429688
2010,7,20,8.940406,41.583012,41.212082,68.606148,81.350372,37.307358,29.092392,7.703103,20.366634,31.093075,10229.959961
2010,7,21,8.90968,40.546627,40.104908,66.907051,80.527542,36.813702,28.578485,7.77497,21.642576,30.861273,10120.530273
2010,7,22,9.100161,40.475643,41.069939,70.974045,81.94175,37.579483,29.257891,7.921149,21.63451,31.780472,10322.299805
2010,7,23,8.958839,40.908646,41.855423,71.362648,82.526741,37.794651,29.728239,7.949284,21.715265,32.276047,10424.620117
2010,7,26,9.229202,40.986748,41.675877,75.36644,82.546043,38.218681,29.963421,7.929102,21.804092,32.355976,10525.429688
2010,7,27,9.382813,41.242275,42.798019,74.444603,82.687462,38.484467,29.8589,8.075889,21.804092,32.236084,10537.69043
2010,7,28,9.216912,41.050636,42.274349,74.869339,82.558884,38.547756,29.649849,7.980474,21.852638,31.860399,10497.879883
2010,7,29,9.272211,41.050636,42.049934,74.173447,82.295326,38.187023,29.36241,7.893321,21.836456,31.372828,10467.160156
2010,7,30,9.216912,41.23518,42.423969,74.607277,82.539612,37.769329,29.344988,7.867018,21.836456,31.684555,10465.94043
2010,8,2,9.511853,41.682388,42.521229,76.460007,84.056656,39.199596,30.033106,8.007691,22.394709,32.236084,10674.379883
2010,8,3,10.040288,42.129589,42.304272,75.583351,83.805992,39.693241,29.797926,8.01014,22.240986,31.972313,10636.379883
2010,8,4,10.214253,42.406437,43.096394,77.689148,84.384537,39.693241,30.337963,8.042251,22.548428,32.244064,10680.429688
2010,8,5,10.058928,42.420628,42.390621,77.499359,84.744514,39.686905,30.468618,8.003106,22.524151,31.948336,10674.980469
2010,8,6,10.089998,42.562603,42.450695,77.110733,84.07267,39.218597,30.486038,7.953866,22.37044,32.188118,10653.55957
2010,8,9,10.201831,42.626492,42.916191,78.891182,85.274246,39.522373,30.625402,8.004638,22.208628,32.42791,10698.75
2010,8,10,10.295024,42.186375,42.78104,78.719498,85.170906,39.193272,30.738632,7.933074,22.11154,32.34798,10644.25
