Year,Month,Day,DTE.DE,RWE.DE,SIE.DE,LHA.DE,DBK.DE,ADS.DE,ALV.DE,FME.DE,SAP.DE,BMW.DE,DWNI.DE,^GDAXI,EURUSD=X
2010,6,3,5.051156,36.191559,48.582916,9.599342,32.19614,34.847149,48.911106,35.623497,30.275654,25.577093,4.750484,6054.629883,1.216945
2010,6,4,4.997396,35.707458,47.181114,9.37368,31.268658,33.990826,47.764851,35.640091,30.023014,24.849949,4.510827,5938.879883,1.197103
2010,6,7,4.973504,35.51749,46.713848,9.330283,30.849792,34.672573,47.488792,35.694012,29.944321,24.934732,4.373575,5904.950195,1.192293
2010,6,8,4.936035,34.475739,47.083767,9.126319,30.710167,34.672573,47.218735,35.772827,29.757944,24.572788,4.373575,5868.549805,1.197203
2010,6,9,5.010972,34.592167,48.479092,9.286886,31.36838,35.412491,48.142944,36.668808,30.438364,25.374928,4.480248,5984.75,1.199199
2010,6,10,5.096226,34.684086,49.420109,9.408397,31.564516,36.318691,48.593056,36.967464,30.42157,26.512913,4.537139,6056.589844,1.210903
2010,6,11,5.106543,34.432842,48.25193,9.603681,31.923548,35.6619,48.821095,36.556805,30.492971,26.141197,4.549939,6047.830078,1.211402
2010,6,14,5.147812,34.861797,50.198891,9.759909,32.279251,35.940411,49.66729,36.195923,30.719774,25.925991,4.661591,6125,1.221807
2010,6,15,5.218947,35.106911,50.705097,9.963874,32.937462,35.836491,50.621498,36.768353,30.82478,25.984688,4.672969,6175.049805,1.231906
2010,6,16,5.218405,35.064022,50.7635,10.068027,33.193443,35.462364,51.011589,36.826431,31.02219,25.453186,4.637411,6190.910156,1.231194
2010,6,17,5.269449,34.867928,50.276764,10.041988,33.469364,35.483154,51.083614,37.000648,31.450596,25.890123,4.742662,6223.540039,1.238206
2010,6,18,5.241755,34.990479,50.140476,10.180857,33.529198,35.321033,50.633511,36.639763,31.568201,26.545523,4.693593,6216.97998,1.239296
2010,6,21,5.243383,35.419441,51.418983,10.180857,33.469364,35.304401,51.101612,36.473843,31.564001,27.259624,4.638124,6292.970215,1.231603
2010,6,22,5.272163,35.021118,50.951714,10.206896,33.040527,35.562134,50.981594,36.627323,31.652212,27.073763,4.530027,6269.040039,1.227506
2010,6,23,5.261303,34.537018,50.172932,10.441236,32.432171,35.474838,50.141399,36.154442,31.479998,27.054197,4.665147,6204.52002,1.231906
2010,6,24,5.202114,33.973251,48.803577,10.228594,31.700819,34.073963,49.475243,36.407478,31.223789,26.972677,4.558474,6115.47998,1.233745
2010,6,25,5.288997,33.795536,48.751656,10.224255,31.315191,34.398209,49.21719,36.585842,31.190197,26.320538,4.551363,6070.600098,1.237302
2010,6,28,5.374251,33.75264,49.647255,10.384821,31.916899,34.190369,49.991352,37.091904,31.374994,26.907467,4.693593,6157.220215,1.227702
2010,6,29,5.264562,32.674126,47.73275,9.868402,30.583843,33.130356,48.839092,36.739326,30.912979,26.020555,4.535716,5952.029785,1.218635
2010,6,30,5.268906,32.919239,48.037773,9.885761,31.049248,33.151146,49.121166,36.772511,30.812185,26.128153,4.549229,5965.52002,1.223002
2010,7,1,5.278137,32.631229,47.181114,9.768589,29.918982,32.153488,48.052925,36.378441,30.610575,24.911903,4.455357,5857.430176,1.25075
2010,7,2,5.177135,32.692509,46.545109,9.868402,29.955544,32.236629,48.274975,35.631794,30.123354,24.706478,4.458913,5834.149902,1.257103
2010,7,6,5.306374,33.323692,46.811192,10.055006,30.417622,32.968239,48.929115,35.540535,30.78698,25.433622,4.581942,5940.97998,1.262403
